Geography,year_built,Median_Income,Median_rent,Estimate..Total.,No_schooling,Nursery_school,Kindergarten,X1st_grade,X2nd.grade,X3rd.grade,X4th.grade,X5th.grade,X6th.grade,X7th.grade,X8th.grade,X9th.grade,X10th.grade,X11th.grade,X12th.grade..no.diploma,Regular.high.school.diploma,GED.or.alternative.credential,Some.college..less.than.1.year,Some.college..1.or.more.years..no.degree,Associate.s.degree,Bachelor.s.degree,Master.s.degree,Professional.school.degree,Doctorate.degree
"Block Group 2, Census Tract 107, Champaign County, Illinois",1970,63958,950,615,0,0,0,0,0,0,0,0,0,0,3,9,7,0,21,142,46,50,102,94,93,46,0,2
"Block Group 1, Census Tract 13.01, Champaign County, Illinois",1975,51875,952,1874,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,353,13,32,274,61,547,349,16,197
"Block Group 3, Census Tract 111, Champaign County, Illinois",1981,17361,953,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,40,0,95,115,8,10
"Block Group 4, Census Tract 53, Champaign County, Illinois",1988,25610,955,662,0,0,0,0,0,0,0,0,34,0,10,12,0,29,0,101,10,13,58,66,198,108,6,17
"Block Group 1, Census Tract 57.02, Champaign County, Illinois",1996,56591,956,2351,31,0,0,0,0,0,0,0,0,0,0,0,8,10,12,335,59,178,287,159,525,472,85,190
"Block Group 2, Census Tract 4.02, Champaign County, Illinois",1986,,958,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,0,20,35,8,12
"Block Group 2, Census Tract 8, Champaign County, Illinois",2003,55625,964,2174,56,0,0,0,0,0,0,0,39,14,0,11,20,15,84,242,57,88,309,101,602,376,73,87
"Block Group 4, Census Tract 12.01, Champaign County, Illinois",1962,44777,967,965,0,0,0,0,0,0,0,0,0,0,0,11,0,45,0,215,16,111,193,81,229,51,0,13
"Block Group 3, Census Tract 9.01, Champaign County, Illinois",1958,46591,967,1103,8,0,0,0,0,0,0,0,14,0,0,33,6,0,0,419,10,138,244,95,78,28,0,30
"Block Group 2, Census Tract 108, Champaign County, Illinois",1968,88250,972,655,0,0,0,0,0,0,0,0,0,0,0,3,0,4,13,130,60,43,106,81,111,77,8,19
"Block Group 2, Census Tract 13.02, Champaign County, Illinois",1992,84457,986,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,211,0,144,131,121,550,333,61,235
"Block Group 1, Census Tract 12.03, Champaign County, Illinois",1960,55333,989,718,0,0,0,0,0,0,0,0,0,0,26,25,34,0,11,197,25,24,68,41,164,94,0,9
"Block Group 1, Census Tract 13.02, Champaign County, Illinois",1980,67440,992,1299,19,19,0,0,0,0,0,0,0,0,7,5,0,0,8,210,8,144,167,62,303,183,32,132
"Block Group 1, Census Tract 8, Champaign County, Illinois",1990,48429,1004,1497,0,0,0,0,0,0,0,0,0,23,4,0,27,14,0,319,23,96,290,55,307,224,25,90
"Block Group 3, Census Tract 12.01, Champaign County, Illinois",1964,67885,1005,703,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,206,57,106,84,59,90,42,27,0
"Block Group 2, Census Tract 109, Champaign County, Illinois",1983,90800,1035,673,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,153,5,91,113,62,218,23,0,4
"Block Group 2, Census Tract 12.01, Champaign County, Illinois",1973,45864,1048,1022,18,0,0,0,0,0,0,0,0,13,20,0,0,13,0,329,27,159,131,16,35,226,0,35
"Block Group 3, Census Tract 59, Champaign County, Illinois",1992,,1049,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,15,8,58,38,0,0
"Block Group 2, Census Tract 105, Champaign County, Illinois",1971,74018,1069,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,167,6,35,115,72,84,51,0,0
"Block Group 2, Census Tract 5, Champaign County, Illinois",1948,69286,1071,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,48,15,16,74,136,47,16
"Block Group 1, Census Tract 3.02, Champaign County, Illinois",1970,,1091,111,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,65,0,0,0,17,14,0,0,0
"Block Group 2, Census Tract 58, Champaign County, Illinois",,26010,1125,223,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,30,7,83,37,0,35
"Block Group 2, Census Tract 3.01, Champaign County, Illinois",1991,6652,1137,308,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,71,8,24,0,18,108,55,0,0
"Block Group 3, Census Tract 106.03, Champaign County, Illinois",1999,97882,1158,1785,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,259,0,114,195,271,630,240,49,16
